index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,QC_GAME_MODE,30,0,||assetlist
3,localize,QC_HUMAN,19,0,||assetlist
4,localize,QC_ZOMBIE,21,0,||assetlist
5,localize,QC_TEAM_HUMANS,26,0,||assetlist
6,localize,QC_TEAM_ZOMBIES,28,0,||assetlist
7,localize,QC_OBJECTIVES,357,0,||assetlist
8,localize,QC_OBJECTIVES_HINT_HUMANS,59,0,||assetlist
9,localize,QC_OBJECTIVES_HINT_ZOMBIES,44,0,||assetlist
10,localize,QC_OBJECTIVES_SCORE,65,0,||assetlist
11,localize,QC_WAITING_FOR_MORE_HUMANS,64,0,||assetlist
12,localize,QC_ALPHA_ZOMBIE_COUNTDOWN,57,0,||assetlist
13,localize,QC_ALPHA_ZOMBIE_RELEASED,50,0,||assetlist
14,localize,QC_HUMANS_ELIMINATED,39,0,||assetlist
15,localize,QC_ZOMBIES_ELIMINATED,42,0,||assetlist
16,localize,QC_HUMANS_DESTROYED,37,0,||assetlist
17,localize,QC_ZOMBIES_DESTROYED,39,0,||assetlist
18,localize,QC_CASH_AVAILABLE,49,0,||assetlist
19,localize,QC_HEALTH,28,0,||assetlist
20,localize,QC_SHOP_INSTRUCTIONS,203,0,||assetlist
21,sound,mp_mod.en,28,0,||assetlist
22,keyvaluepairs,en_mp_mod,638,0,||assetlist
23,assetlist,,336,0,
